Naruto | anime
Naruto: Shippuden | anime
One Piece | anime
Bleach | anime
Dragon Ball | anime
Dragon Ball Z | anime
Dragon Ball Super | anime
Attack on Titan | anime
Demon Slayer | anime
Jujutsu Kaisen | anime
My Hero Academia | anime
Hunter x Hunter | anime
Death Note | anime
Fullmetal Alchemist: Brotherhood | anime
Tokyo Ghoul | anime
Sword Art Online | anime
One Punch Man | anime
Mob Psycho 100 | anime
Chainsaw Man | anime
Black Clover | anime
Fairy Tail | anime
JoJo's Bizarre Adventure | anime
Code Geass | anime
Steins;Gate | anime
Neon Genesis Evangelion | anime
Cowboy Bebop | anime
Vinland Saga | anime
Haikyuu!! | anime
Kuroko's Basketball | anime
Blue Lock | anime
Solo Leveling | anime
Spy x Family | anime
Dr. Stone | anime
Fire Force | anime
Tokyo Revengers | anime
The Seven Deadly Sins | anime
Re:Zero | anime
That Time I Got Reincarnated as a Slime | anime
Overlord | anime
The Rising of the Shield Hero | anime
Made in Abyss | anime
Erased | anime
Parasyte: The Maxim | anime
Psycho-Pass | anime
Akame ga Kill! | anime
Assassination Classroom | anime
Noragami | anime
Dororo | anime
Berserk | anime
Samurai Champloo | anime
Trigun | anime
Gintama | anime
Yu Yu Hakusho | anime
Inuyasha | anime
Rurouni Kenshin | anime
Sailor Moon | anime
Pokemon | anime
Digimon Adventure | anime
Yu-Gi-Oh! | anime
Doraemon | anime
Detective Conan | anime
Crayon Shin-chan | anime
Slam Dunk | anime
Initial D | anime
Hajime no Ippo | anime
Baki | anime
Kengan Ashura | anime
Food Wars! | anime
The Promised Neverland | anime
Classroom of the Elite | anime
Mushoku Tensei | anime
The Eminence in Shadow | anime
Konosuba | anime
No Game No Life | anime
Log Horizon | anime
The Devil Is a Part-Timer! | anime
Your Lie in April | anime
Your Name | anime
A Silent Voice | anime
Weathering with You | anime
I Want to Eat Your Pancreas | anime
Toradora! | anime
Clannad | anime
Fruits Basket | anime
Violet Evergarden | anime
Horimiya | anime
Kaguya-sama: Love Is War | anime
Oregairu | anime
Komi Can't Communicate | anime
Bocchi the Rock! | anime
Frieren: Beyond Journey's End | anime
The Apothecary Diaries | anime
Delicious in Dungeon | anime
Cyberpunk: Edgerunners | anime
Devilman Crybaby | anime
Pluto | anime
Monster | anime
20th Century Boys | anime
